smiles,logP,penalized_logP,qed,3pbl_docking,SA,exact_mol_wt,fp_density_morgan_1,fp_density_morgan_2,fp_density_morgan_3,heavy_atom_mol_wt,max_abs_partial_charge,max_partial_charge,min_abs_partial_charge,min_partial_charge,mol_weight,num_radical_electrons,num_valence_electons
CCNC(=O)CS(=O)(=O)c1ncc[n-]1,-1.0513999999999997,-3.3605062245859365,0.6930757250894485,-5.1,3.9561376707123808,216.04483575991,1.6428571428571428,2.357142857142857,2.857142857142857,206.162,0.4332206441263112,0.2350494826238246,0.2350494826238246,-0.4332206441263112,216.242,0,78
CC(C)(C)n1cc(NC(=O)c2ccc(-n3ccnc3)nc2)cn1,2.4711,0.7758329821405265,0.8058805610466019,-7.4,2.5548964593643646,310.154209196,1.2173913043478262,2.0434782608695654,2.608695652173913,292.21700000000004,0.3192311832137329,0.256812576288069,0.256812576288069,-0.3192311832137329,310.36100000000005,0,118
O=C(CN1CCO[C@H](c2ccccc2)C1)N1CCCc2ccccc21,3.0393000000000017,1.1679287377674226,0.8636100666326425,-9.5,2.558484868426561,336.183778008,1.04,1.84,2.72,312.24300000000005,0.3708555285303942,0.2406682906874442,0.2406682906874442,-0.3708555285303942,336.43500000000006,0,130
O=C(N1CC[C@@H]2OCCC[C@H]2C1)C1(c2ccc(F)cc2F)CCCC1,3.804100000000002,0.7426686968013068,0.8126559871597667,-9.4,3.358713358096176,349.18533548000005,1.16,1.96,2.72,324.221,0.3777931494045115,0.2328454041089596,0.2328454041089596,-0.3777931494045115,349.42100000000016,0,136
C=CCN(Cc1cccs1)C(=O)N[C@@H](C)C(=O)N1CCCCC1,2.846700000000001,0.7025191755205473,0.8128794901618117,-7.4,2.8347772817630137,335.16674804,1.434782608695652,2.1739130434782608,2.782608695652174,310.2730000000001,0.3409283975928665,0.318152371942748,0.318152371942748,-0.3409283975928665,335.4730000000002,0,126
Nc1nc(Cl)cc(Sc2nnnn2C2CCCCC2)n1,2.3551,0.5070528678856476,0.8690627808896639,-7.8,2.711681047380827,311.07199212800003,1.25,2.05,2.8,297.69000000000005,0.3677158075164594,0.2220069097316959,0.2220069097316959,-0.3677158075164594,311.8020000000001,0,106
COc1ccc(-n2c(S[C@@H](C)C(=O)Nc3c(C)cccc3C)nnc2-c2ccncc2)cc1,5.074040000000004,2.4463036589070386,0.3885163245595154,-6.8,2.676270793895222,459.1728960400001,1.0,1.6666666666666667,2.303030303030303,434.3750000000002,0.4967658831212116,0.2372081832688609,0.2372081832688609,-0.4967658831212116,459.57500000000016,0,168
Cc1ccccc1-c1nnc(S[C@@H](C)C(=O)Nc2ccc(Cl)cc2)o1,4.817720000000003,2.562118200210074,0.6492862538332168,-8.8,2.4303692583419387,373.06517543199993,1.16,1.88,2.6,357.7370000000001,0.4112015292557087,0.2771294033434104,0.2771294033434104,-0.4112015292557087,373.8650000000001,0,128
O=C(Nc1cccc(F)c1)N[C@@H]1C=C[C@@H](C(=O)[O-])C1,0.6417999999999995,-1.7641603210140844,0.7851926138286418,-7.7,3.609681856445502,263.08374404391003,1.3157894736842106,2.1052631578947367,2.736842105263158,251.152,0.5495196978275249,0.3192001675194588,0.3192001675194588,-0.5495196978275249,263.24800000000005,0,100
Cc1cc(C)cc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCC3)c1,3.079340000000001,1.483306072414831,0.7220894418563937,-8.8,2.3185823398555723,373.0918688480001,1.16,1.84,2.48,354.35100000000017,0.365496283923325,0.2569288246082686,0.2569288246082686,-0.365496283923325,373.5030000000002,0,130
Cc1cc(C[NH+]2CCC[C@H]3CCC[C@@H]32)ccc1-n1cncn1,1.9231199999999995,-1.9704367611450284,0.9392743309810828,-8.3,4.527888552279912,297.20737322009,1.2272727272727273,2.136363636363636,2.9545454545454546,272.226,0.3285300778166704,0.1377004259041827,0.1377004259041827,-0.3285300778166704,297.426,0,116
N#Cc1cc([N+](=O)[O-])ccc1NCc1ccon1,2.06658,0.4792662237794215,0.6514358843069743,-6.8,2.566881489340332,244.059640116,1.5,2.333333333333333,2.9444444444444446,236.146,0.3781795673902883,0.2704040950823114,0.2704040950823114,-0.3781795673902883,244.21,0,90
CCN1C(=O)/C(=C\c2ccc(OCC(=O)Nc3ccccc3)c(OC)c2)NC1=S,2.7902000000000005,1.3899853768778143,0.5388209797222382,-8.4,2.228116891502463,411.1252771520001,1.206896551724138,1.9655172413793105,2.6206896551724137,390.3150000000001,0.4928466534347653,0.2760274699773096,0.2760274699773096,-0.4928466534347653,411.48300000000006,0,150
Cc1nc(COc2ccc(CN3CCNC(=O)C[C@H]3c3ccccc3)cc2)no1,3.020220000000002,-2.668984132969056,0.694586059930076,-9.5,2.8463748702686384,392.184840628,1.1724137931034482,1.9655172413793105,2.689655172413793,368.2670000000001,0.4854747962448862,0.2231443082918598,0.2231443082918598,-0.4854747962448862,392.459,0,150
C[C@@H](NC(=O)N(C)Cc1ccc(Cl)s1)[C@@H]1CCCO1,3.110400000000002,0.4084310375501591,0.928298241276984,-6.3,3.23376400448614,302.085576528,1.6842105263157894,2.473684210526316,3.0526315789473686,283.675,0.3760945434456209,0.3172621759438847,0.3172621759438847,-0.3760945434456209,302.82700000000017,0,106
CCc1c(C)nc(N[C@@H](C)CC)n2c(=O)[nH]nc12,1.4988199999999996,-0.9629586812977212,0.8606778687173992,-5.9,3.439993222185999,249.158960228,1.4444444444444444,2.1666666666666665,2.7777777777777777,230.166,0.3527453529852222,0.3501228330437592,0.3501228330437592,-0.3527453529852222,249.318,0,98
CCOc1c(CNC(=O)[C@H]2CCCC[C@@H]2C(=O)[O-])cccc1OC,1.2663999999999995,-0.814499609599149,0.8110898750059559,-7.9,3.1807621187912964,334.16599644791,1.25,1.9583333333333333,2.583333333333333,310.20000000000005,0.5498384654596654,0.2235402321061517,0.2235402321061517,-0.5498384654596654,334.392,0,132
Nc1c(C(=O)Nc2ccccc2[N+](=O)[O-])sc2[nH+]c(N3CCOCC3)c3c(c12)CCCC3,3.1735000000000024,0.3666531950113399,0.4607691707895378,-8.9,3.3053719430648334,454.15435166809,1.1875,1.90625,2.65625,430.34000000000026,0.3967646490580616,0.2922521227021374,0.2922521227021374,-0.3967646490580616,454.5320000000005,0,166
C[NH+](C)[C@@H]1CCC[C@@H](NC(=O)NC2CCN(S(=O)(=O)C3CC3)CC2)C1,-0.3020999999999962,-2.991771518442928,0.618660247502204,-7.9,4.084668625654704,373.22678833609,0.96,1.6,2.2,340.2790000000001,0.3373146968230609,0.3147275741000325,0.3147275741000325,-0.3373146968230609,373.5430000000003,0,144
Cc1ccccc1[C@@H]([NH2+]CCCS(C)(=O)=O)C1CC1,1.4442200000000005,-1.345823942420596,0.7695177265130786,-7.1,3.727744026278197,282.15222642809,1.3157894736842106,2.0,2.5789473684210527,258.237,0.3397967033683989,0.1471871495785223,0.1471871495785223,-0.3397967033683989,282.42900000000003,0,106
O=C(Cn1c(=O)oc2ccccc21)NC[C@@H](c1ccco1)[NH+]1CCCCC1,1.1138,-1.7823191775605844,0.6811859313906696,-8.9,3.899658828278314,370.17613266809,1.148148148148148,1.962962962962963,2.740740740740741,346.23700000000014,0.4629712310201166,0.4199388365599642,0.4199388365599642,-0.4629712310201166,370.4290000000002,0,142
Cc1ocnc1CNC(=O)c1c(F)cccc1Cl,2.70552,1.0078199295104773,0.93111819117321,-7.1,2.497769579838069,268.04148346,1.5555555555555556,2.333333333333333,2.9444444444444446,258.595,0.448444962340296,0.2556035792978334,0.2556035792978334,-0.448444962340296,268.67499999999995,0,94
Cc1ccc2nc(CNc3cc4c(cc3Cl)OCCO4)cc(=O)n2c1,3.03962,1.2842880711483673,0.7801500583732441,-9.4,2.4615570054074123,357.088019052,1.2,1.96,2.76,341.6690000000001,0.4860885484481275,0.2576455534778409,0.2576455534778409,-0.4860885484481275,357.7970000000002,0,128
C[C@@H](OC(=O)c1cc[nH]n1)C(=O)N1c2ccccc2Sc2ccccc21,3.784500000000002,0.8969688290078395,0.7149989106447762,-7.3,3.2185214834599423,365.08341234000005,1.0384615384615383,1.6538461538461535,2.230769230769231,350.2940000000001,0.4477502491478087,0.3591054001777972,0.3591054001777972,-0.4477502491478087,365.414,0,130
